66;35;693142;387396;45530;82653;231514;181567;117839;7282;NA
69;44;433332;28471;20827;23444;23284;18727;6790;4076;NA
67;54;375457;177313;4995;82491;27401;25353;18154;14772;NA
74;41;338639;134379;7609;19267;136858;54088;19126;17045;NA
60;57;241901;16704;11302;11628;7687;5411;3436;3247;NA
53;51;1427282;560283;116477;108376;58532;121425;30947;27823;NA
66;56;170148;325494;199947;142374;79410;173894;80090;66965;NA
66;56;170148;325494;199947;142374;79410;173894;80090;66965;NA
56;70;343883;173445;98705;14891;45837;47855;9707;3082;NA
60;57;229865;50042;2139;12384;7868;11273;2653;1401;NA
80;57;404568;41267;13161;39085;40752;69612;4736;3338;NA
70;53;582639;161046;19591;66992;51762;36148;7815;1717;NA
87;41;632140;360606;63588;23790;98611;214076;50383;15441;NA
96;51;1298476;200197;204180;152733;208604;200451;73977;22484;NA
69;48;102452;115508;18837;12307;8569;13602;4987;704;NA
69;54;1909799;203910;199105;66260;131114;63450;21735;8276;NA
69;54;570080;64643;41617;79047;75743;175389;58560;4943;NA
